Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
276,NBCC,NBCC (INDIA) LIMITED,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
277,TATATECH,Tata Technologies Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY EV & New Age Automotive
278,SONACOMS,Sona BLW Precision Forgings Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
279,EMAMILTD,Emami Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY FMCG
280,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Pharma
281,AFFLE,Affle 3i Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
282,AEGISVOPAK,Aegis Vopak Terminals Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
283,KIOCL,KIOCL Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
284,PPLPHARMA,Piramal Pharma Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
285,SYNGENE,Syngene International Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Healthcare
286,BANDHANBNK,Bandhan Bank Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Private Bank
287,IKS,Inventurus Knowledge Solutions Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY SME IPO
288,STARHEALTH,Star Health & Allied Insurance Co. Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
